date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:27	1689/1689	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec5-699%22	https://cdnjs.cloudflare.com/ajax/libs/js-cookie/2.2.0/js.cookie.min.js	/storage/emulated/0/HTTrack/Websites/portfolio/cdnjs.cloudflare.com/ajax/libs/js-cookie/2.2.0/js.cookie.min.js	(from https://dennissnellenberg.com/)
20:54:29	64148/64148	---M-Z	200	added ('OK')	application/javascript	etag:%2261c68a7c-62f1%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.9.1/gsap.min.js	/storage/emulated/0/HTTrack/Websites/portfolio/cdnjs.cloudflare.com/ajax/libs/gsap/3.9.1/gsap.min.js	(from https://dennissnellenberg.com/)
20:54:30	24528/24528	---M-Z	200	added ('OK')	application/javascript	etag:%2261c68a7c-29b4%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.9.1/ScrollTrigger.min.js	/storage/emulated/0/HTTrack/Websites/portfolio/cdnjs.cloudflare.com/ajax/libs/gsap/3.9.1/ScrollTrigger.min.js	(from https://dennissnellenberg.com/)
20:54:30	8399/8399	---M-Z	200	added ('OK')	application/javascript	etag:W/%2220cf-/zWFEdu5PN0CPtE1DFxY0PWBlQs%22	https://cdn.jsdelivr.net/npm/vanilla-lazyload@17.6.1/dist/lazyload.min.js	/storage/emulated/0/HTTrack/Websites/portfolio/cdn.jsdelivr.net/npm/vanilla-lazyload@17.6.1/dist/lazyload.min.js	(from https://dennissnellenberg.com/)
20:54:32	47164/47164	---M--	200	added ('OK')	application/javascript	etag:%22b83c-5d9ca32cd5f57%22	https://dennissnellenberg.com/assets/js/locomotive-scroll.min.js	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/js/locomotive-scroll.min.js	(from https://dennissnellenberg.com/)
20:54:33	36723/36723	---M--	200	added ('OK')	application/javascript	etag:%228f73-5f1339b4ad0ec%22	https://dennissnellenberg.com/assets/js/index-new.js	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/js/index-new.js	(from https://dennissnellenberg.com/)
20:54:34	40516/40516	---M--	200	added ('OK')	application/x-font-otf	etag:%229e44-5d9ca3365076b%22	https://dennissnellenberg.com/assets/fonts/NeueMontreal-Light.otf	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/fonts/NeueMontreal-Light.otf	(from https://dennissnellenberg.com/assets/css/styleguide.css)
20:54:35	49192/49192	---M--	200	added ('OK')	application/x-font-otf	etag:%22c028-5d9ca336b606a%22	https://dennissnellenberg.com/assets/fonts/NeueMontreal-LightItalic.otf	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/fonts/NeueMontreal-LightItalic.otf	(from https://dennissnellenberg.com/assets/css/styleguide.css)
20:54:36	49624/49624	---M--	200	added ('OK')	application/x-font-otf	etag:%22c1d8-5d9ca336716c3%22	https://dennissnellenberg.com/assets/fonts/NeueMontreal-Italic.otf	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/fonts/NeueMontreal-Italic.otf	(from https://dennissnellenberg.com/assets/css/styleguide.css)
20:54:37	42916/42916	---M--	200	added ('OK')	application/x-font-otf	etag:%22a7a4-5d9ca336d6409%22	https://dennissnellenberg.com/assets/fonts/NeueMontreal-Bold.otf	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/fonts/NeueMontreal-Bold.otf	(from https://dennissnellenberg.com/assets/css/styleguide.css)
20:54:38	51532/51532	---M--	200	added ('OK')	application/x-font-otf	etag:%22c94c-5d9ca33694942%22	https://dennissnellenberg.com/assets/fonts/NeueMontreal-BoldItalic.otf	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/fonts/NeueMontreal-BoldItalic.otf	(from https://dennissnellenberg.com/assets/css/styleguide.css)
20:54:39	254/254	---M--	200	added ('OK')	image/svg+xml	etag:%22fe-5d9ca32e7f019%22	https://dennissnellenberg.com/assets/img/form-checkmark.svg	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/img/form-checkmark.svg	(from https://dennissnellenberg.com/assets/css/styleguide.css)
20:54:40	35035/35035	---M--	200	added ('OK')	image/jpeg	etag:%2288db-5d9ca332df9b8%22	https://dennissnellenberg.com/assets/img/DSC07033-Cut-Color-1080.jpg	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/img/DSC07033-Cut-Color-1080.jpg	(from https://dennissnellenberg.com/assets/css/components.css)
20:54:40	220/220	---M--	200	added ('OK')	image/svg+xml	etag:%22dc-5d9ca3327b05a%22	https://dennissnellenberg.com/assets/img/dotted.svg	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/img/dotted.svg	(from https://dennissnellenberg.com/assets/css/components.css)
20:54:42	194032/194032	---M--	200	added ('OK')	image/jpeg	etag:%222f5f0-5d9ca332b6591%22	https://dennissnellenberg.com/assets/img/DSC07312-2.jpg	/storage/emulated/0/HTTrack/Websites/portfolio/dennissnellenberg.com/assets/img/DSC07312-2.jpg	(from https://dennissnellenberg.com/assets/css/style-new.css)
